24,30,1
30,40,1
22,49,0
43,39,1
23,30,1
23,49,0
48,46,1
23,23,1
29,49,0
38,38,1
30,34,1
40,50,1
35,32,1
49,44,1
38,22,1
30,27,1
26,24,1
39,23,1
36,43,1
25,31,1
27,27,1
32,22,1
40,30,1
26,28,1
46,32,1
41,37,1
39,41,1
18,28,0
18,47,0
39,44,1
38,21,1
24,36,0
32,22,1
21,20,1
42,36,1
46,41,1
39,38,1
18,31,0
31,45,1
44,24,0
49,22,0
26,27,1
25,34,1
47,23,0
27,48,0
32,49,1
46,41,1
24,32,1
29,26,1
25,36,1
27,35,1
38,19,1
18,40,0
34,49,1
32,35,1
47,49,1
47,18,0
33,24,1
35,28,1
35,41,1
39,43,1
29,18,1
18,44,0
26,26,1
31,43,1
20,29,0
28,18,1
31,38,1
34,34,1
32,33,1
34,27,1
19,38,0
32,21,1
33,37,1
33,18,1
18,46,0
31,37,1
36,30,1
40,40,1
38,30,1
49,28,1
31,47,1
28,50,0
49,43,1
24,31,1
33,43,1
28,24,1
45,29,1
49,35,1
36,29,1
42,32,1
29,18,1
49,20,0
22,27,1
41,38,1
47,21,0
40,32,1
35,18,1
35,33,1
34,28,1
22,31,0
46,20,0
18,49,0
48,23,0
39,21,1
20,34,0
24,20,1
38,18,1
37,47,1
39,37,1
38,39,1
27,42,1
47,49,1
27,42,1
40,28,1
41,46,1
39,25,1
43,36,1
49,30,1
24,38,0
49,42,1
19,22,0
43,27,1
30,37,1
24,31,1
24,48,0
24,29,1
18,19,1
29,25,1
38,33,1
39,20,1
24,30,1
22,39,0
47,21,0
30,44,1
41,38,1
29,33,1
42,42,1
47,27,1
23,20,1
39,18,1
30,26,1
36,27,1
40,18,1
31,18,1
46,27,1
41,44,1
26,34,1
33,18,1
48,19,0
46,27,1
25,40,0
50,36,1
20,21,1
33,47,1
40,35,1
24,27,1
34,19,1
26,45,0
34,36,1
21,27,0
48,28,1
23,25,1
48,46,1
30,20,1
23,40,0
36,40,1
21,45,0
30,40,1
39,24,1
42,47,1
28,37,1
24,30,1
37,25,1
44,34,1
43,32,1
46,29,1
49,22,0
41,28,1
23,50,0
30,43,1
25,32,1
27,46,0
23,21,1
39,41,1
33,27,1
49,21,0
33,33,1
18,25,0
42,35,1
36,25,1
26,50,0
18,37,0
35,37,1
39,38,1
22,30,0
18,44,0
46,44,1
24,27,1
41,34,1
40,39,1
34,49,1
35,41,1
46,48,1
50,23,0
49,20,0
22,47,0
27,26,1
30,30,1
37,39,1
42,44,1
41,27,1
24,21,1
34,28,1
23,43,0
43,35,1
42,40,1
25,24,1
36,24,1
25,23,1
44,30,1
39,33,1
38,33,1
49,30,1
40,19,1
19,46,0
31,21,1
48,33,1
26,24,1
20,37,0
29,31,1
35,28,1
37,25,1
42,42,1
42,48,1
41,47,1
44,45,1
45,46,1
25,38,1
19,45,0
36,26,1
33,36,1
27,19,1
48,24,0
37,48,1
23,31,0
20,29,0
27,44,0
47,24,0
36,18,1
37,48,1
32,29,1
46,48,1
31,47,1
23,45,0
28,30,1
36,32,1
25,43,0
24,44,0
34,47,1
46,42,1
18,31,0
23,25,1
44,39,1
18,29,0
49,40,1
24,33,0
21,44,0
40,24,1
46,41,1
42,33,1
25,41,0
29,42,1
40,18,1
37,40,1
46,28,1
33,20,1
18,42,0
22,36,0
27,46,0
33,48,1
21,37,0
26,50,0
29,23,1
23,33,0
21,38,0
18,30,0
29,28,1
31,22,1
30,48,1
41,37,1
35,31,1
48,32,1
29,37,1
32,33,1
43,26,1
21,33,0
44,28,1
35,18,1
35,35,1
25,20,1
39,46,1
26,39,1
36,29,1
29,44,1
28,42,1
38,21,1
28,49,0
33,26,1
31,28,1
25,47,0
23,25,1
45,49,1
28,26,1
36,48,1
42,48,1
42,21,1
29,32,1
26,28,1
24,46,0
39,30,1
29,46,1
43,43,1
20,42,0
35,41,1
45,19,0
38,45,1
25,38,1
31,20,1
38,43,1
37,30,1
43,27,1
43,44,1
21,30,0
22,45,0
44,26,1
43,42,1
26,41,0
47,35,1
48,30,1
41,24,1
19,48,0
45,24,0
38,41,1
42,46,1
49,45,1
28,44,1
22,44,0
31,48,1
48,21,0
31,20,1
30,39,1
23,23,1
21,32,0
19,19,1
21,27,0
24,46,0
25,28,1
48,50,1
25,32,1
26,29,1
33,48,1
35,32,1
48,25,1
30,27,1
34,49,1
40,45,1
28,32,1
47,33,1
29,33,1
21,22,1
21,39,0
41,45,1
46,39,1
22,24,1
32,22,1
27,46,0
26,35,1
27,29,1
48,19,0
35,26,1
42,29,1
30,22,1
20,26,0
33,25,1
37,30,1
37,32,1
20,22,1
42,48,1
29,20,1
32,46,1
37,34,1
29,45,1
19,44,0
49,18,0
28,25,1
48,31,1
35,46,1
34,26,1
38,26,1
36,31,1
31,30,1
27,19,1
44,38,1
19,37,0
43,49,1
19,42,0
32,24,1
46,43,1
43,46,1
33,32,1
23,35,0
26,34,1
48,20,0
45,38,1
30,30,1
28,23,1
43,36,1
19,37,0
39,45,1
20,30,0
28,30,1
19,42,0
41,21,1
42,31,1
47,45,1
42,48,1
40,22,1
28,20,1
22,31,0
28,24,1
18,33,0
42,47,1
35,18,1
32,28,1
45,39,1
46,45,1
41,43,1
24,37,0
34,30,1
40,22,1
38,20,1
43,28,1
21,26,0
35,27,1
33,37,1
48,39,1
47,40,1
31,32,1
18,32,0
31,20,1
30,49,1
22,46,0
36,39,1
30,35,1
49,50,1
46,39,1
45,44,1
34,40,1
27,28,1
27,35,1
46,46,1
26,42,0
27,18,1
23,38,0
30,30,1
34,32,1
48,27,1
31,23,1
29,47,0
47,31,1
35,19,1
30,28,1
33,44,1
36,37,1
34,44,1
42,43,1
36,29,1
35,46,1
22,36,0
39,47,1
23,23,1
47,20,0
38,22,1
21,33,0
37,41,1
18,18,1
35,34,1
49,49,1
33,32,1
31,19,1
31,26,1
45,31,1
41,44,1
27,47,0
28,26,1
18,47,0
37,18,1
20,42,0
36,45,1
